Designator,Mid X,Mid Y,Rotation,Layer
C11,247.782323,-93.0325,0.0,top
C12,247.782323,-82.047,0.0,top
C13,247.782323,-71.0615,0.0,top
C14,242.57,-66.548,180.0,top
CD_U2,63.1394,-89.6924,270.0,top
CD_U5,61.1582,-57.5738,270.0,top
COU1,108.486889,-45.232693,0.0,top
COU10,230.305289,-45.232693,0.0,top
COU2,122.673001,-45.232693,0.0,top
COU3,135.720216,-45.232693,0.0,top
COU4,149.608614,-45.232693,0.0,top
COU5,162.975063,-45.232693,0.0,top
COU6,176.65241,-45.232693,0.0,top
COU7,189.773052,-45.232693,0.0,top
COU8,203.81302,-45.232693,0.0,top
COU9,217.289899,-45.232693,0.0,top
CR1,257.302,-75.824,180.0,top
D2,34.132498,-45.801199,180.0,top
D3,34.132498,-43.134199,180.0,top
D4,222.34025,-94.131049,90.0,top
J10,197.909114,-88.345293,90.0,top
J8,112.057114,-88.091293,90.0,top
J9,154.983114,-88.091293,90.0,top
MGR1,116.34875,-77.513585,180.0,top
MGR10,109.854227,-60.531871,180.0,top
MGR11,109.854227,-66.192442,180.0,top
MGR12,109.854227,-71.853014,180.0,top
MGR13,109.854227,-77.513585,180.0,top
MGR14,116.34875,-60.531871,180.0,top
MGR15,116.34875,-66.192442,180.0,top
MGR16,116.34875,-71.853014,180.0,top
MGR17,122.843273,-60.531871,180.0,top
MGR18,122.843273,-66.192442,180.0,top
MGR19,122.843273,-77.513585,180.0,top
MGR2,96.865182,-60.531871,180.0,top
MGR20,122.843273,-71.853014,180.0,top
MGR21,135.832318,-66.192442,180.0,top
MGR22,135.832318,-60.531871,180.0,top
MGR23,135.832318,-71.853013,180.0,top
MGR24,135.832318,-77.513585,180.0,top
MGR25,142.326841,-77.513585,180.0,top
MGR26,142.326841,-66.192442,180.0,top
MGR27,142.326841,-60.531871,180.0,top
MGR28,142.326841,-71.853014,180.0,top
MGR29,129.337796,-60.531871,180.0,top
MGR3,96.865182,-66.192442,180.0,top
MGR30,129.337796,-66.192442,180.0,top
MGR31,129.337796,-71.853014,180.0,top
MGR32,129.337796,-77.513585,180.0,top
MGR33,148.821364,-60.531871,180.0,top
MGR34,148.821364,-66.192442,180.0,top
MGR35,148.821364,-77.513585,180.0,top
MGR36,148.821364,-71.853014,180.0,top
MGR37,161.810409,-66.192442,180.0,top
MGR38,161.810409,-60.531871,180.0,top
MGR39,161.810409,-71.853014,180.0,top
MGR4,96.865182,-71.853014,180.0,top
MGR40,161.810409,-77.513585,180.0,top
MGR41,168.304932,-77.513585,180.0,top
MGR42,168.304932,-66.192442,180.0,top
MGR43,168.304932,-60.531871,180.0,top
MGR44,168.304932,-71.853014,180.0,top
MGR45,155.315887,-60.531871,180.0,top
MGR46,155.315887,-66.192442,180.0,top
MGR47,155.315887,-71.853014,180.0,top
MGR48,155.315887,-77.513585,180.0,top
MGR49,174.799455,-60.531871,180.0,top
MGR5,96.865182,-77.513585,180.0,top
MGR50,174.799455,-66.192442,180.0,top
MGR51,174.799455,-77.513585,180.0,top
MGR52,174.799455,-71.853014,180.0,top
MGR53,187.7885,-66.192442,180.0,top
MGR54,187.7885,-60.531871,180.0,top
MGR55,187.7885,-71.853014,180.0,top
MGR56,187.7885,-77.513585,180.0,top
MGR57,194.283023,-77.513585,180.0,top
MGR58,194.283023,-66.192442,180.0,top
MGR59,194.283023,-60.531871,180.0,top
MGR6,103.359705,-60.531871,180.0,top
MGR60,194.283023,-71.853014,180.0,top
MGR61,181.293978,-60.531871,180.0,top
MGR62,181.293978,-66.192442,180.0,top
MGR63,181.293978,-71.853014,180.0,top
MGR64,181.293978,-77.513585,180.0,top
MGR65,200.777546,-60.531871,180.0,top
MGR66,200.777546,-66.192442,180.0,top
MGR67,200.777546,-77.513585,180.0,top
MGR68,200.777546,-71.853014,180.0,top
MGR69,213.766591,-66.192442,180.0,top
MGR7,103.359705,-66.192442,180.0,top
MGR70,213.766591,-60.531871,180.0,top
MGR71,213.766591,-71.853014,180.0,top
MGR72,213.766591,-77.513585,180.0,top
MGR73,220.261114,-77.513585,180.0,top
MGR74,220.261114,-66.192442,180.0,top
MGR75,220.261114,-60.531871,180.0,top
MGR76,220.261114,-71.853014,180.0,top
MGR77,207.272069,-60.531871,180.0,top
MGR78,207.272069,-66.192442,180.0,top
MGR79,207.272069,-71.853014,180.0,top
MGR8,103.359705,-71.853014,180.0,top
MGR80,207.272069,-77.513585,180.0,top
MGR9,103.359705,-77.513585,180.0,top
MQ1,116.26125,-80.343871,90.0,top
MQ10,109.766727,-63.362157,90.0,top
MQ11,109.766727,-69.022728,90.0,top
MQ12,109.766727,-74.6833,90.0,top
MQ13,109.766727,-80.343871,90.0,top
MQ14,116.26125,-63.362157,90.0,top
MQ15,116.26125,-69.022728,90.0,top
MQ16,116.26125,-74.6833,90.0,top
MQ17,122.755773,-63.362157,90.0,top
MQ18,122.755773,-69.022728,90.0,top
MQ19,122.755773,-80.343871,90.0,top
MQ2,96.777682,-63.362157,90.0,top
MQ20,122.755773,-74.6833,90.0,top
MQ21,135.744818,-69.022727,90.0,top
MQ22,135.744818,-63.362156,90.0,top
MQ23,135.744818,-74.683298,90.0,top
MQ24,135.744818,-80.343871,90.0,top
MQ25,142.239341,-80.343871,90.0,top
MQ26,142.239341,-69.022728,90.0,top
MQ27,142.239341,-63.362157,90.0,top
MQ28,142.239341,-74.6833,90.0,top
MQ29,129.250296,-63.362157,90.0,top
MQ3,96.777682,-69.022728,90.0,top
MQ30,129.250296,-69.022728,90.0,top
MQ31,129.250296,-74.6833,90.0,top
MQ32,129.250296,-80.343871,90.0,top
MQ33,148.733864,-63.362157,90.0,top
MQ34,148.733864,-69.022728,90.0,top
MQ35,148.733864,-80.343871,90.0,top
MQ36,148.733864,-74.6833,90.0,top
MQ37,161.722909,-69.022728,90.0,top
MQ38,161.722909,-63.362157,90.0,top
MQ39,161.722909,-74.6833,90.0,top
MQ4,96.777682,-74.6833,90.0,top
MQ40,161.722909,-80.343871,90.0,top
MQ41,168.217432,-80.343871,90.0,top
MQ42,168.217432,-69.022728,90.0,top
MQ43,168.217432,-63.362157,90.0,top
MQ44,168.217432,-74.6833,90.0,top
MQ45,155.228387,-63.362157,90.0,top
MQ46,155.228387,-69.022728,90.0,top
MQ47,155.228387,-74.6833,90.0,top
MQ48,155.228387,-80.343871,90.0,top
MQ49,174.711955,-63.362157,90.0,top
MQ5,96.777682,-80.343871,90.0,top
MQ50,174.711955,-69.022728,90.0,top
MQ51,174.711955,-80.343871,90.0,top
MQ52,174.711955,-74.6833,90.0,top
MQ53,187.701,-69.022728,90.0,top
MQ54,187.701,-63.362157,90.0,top
MQ55,187.701,-74.6833,90.0,top
MQ56,187.701,-80.343871,90.0,top
MQ57,194.195523,-80.343871,90.0,top
MQ58,194.195523,-69.022728,90.0,top
MQ59,194.195523,-63.362157,90.0,top
MQ6,103.272205,-63.362157,90.0,top
MQ60,194.195523,-74.6833,90.0,top
MQ61,181.206478,-63.362157,90.0,top
MQ62,181.206478,-69.022728,90.0,top
MQ63,181.206478,-74.6833,90.0,top
MQ64,181.206478,-80.343871,90.0,top
MQ65,200.690046,-63.362157,90.0,top
MQ66,200.690046,-69.022728,90.0,top
MQ67,200.690046,-80.343871,90.0,top
MQ68,200.690046,-74.6833,90.0,top
MQ69,213.679091,-69.022728,90.0,top
MQ7,103.272205,-69.022728,90.0,top
MQ70,213.679091,-63.362157,90.0,top
MQ71,213.679091,-74.6833,90.0,top
MQ72,213.679091,-80.343871,90.0,top
MQ73,220.173614,-80.343871,90.0,top
MQ74,220.173614,-69.022728,90.0,top
MQ75,220.173614,-63.362157,90.0,top
MQ76,220.173614,-74.6833,90.0,top
MQ77,207.184569,-63.362157,90.0,top
MQ78,207.184569,-69.022728,90.0,top
MQ79,207.184569,-74.6833,90.0,top
MQ8,103.272205,-74.6833,90.0,top
MQ80,207.184569,-80.343871,90.0,top
MQ9,103.272205,-80.343871,90.0,top
MSR1,116.690504,-55.969093,180.0,top
MSR10,116.690504,-45.301093,180.0,top
MSR11,116.690504,-46.825093,180.0,top
MSR12,116.690504,-48.349093,180.0,top
MSR13,116.690504,-49.873093,180.0,top
MSR14,116.690504,-51.397093,180.0,top
MSR15,116.690504,-52.921093,180.0,top
MSR16,116.690504,-54.445093,180.0,top
MSR17,130.345516,-45.301093,180.0,top
MSR18,130.345516,-46.825093,180.0,top
MSR19,130.345516,-49.873093,180.0,top
MSR2,103.082003,-45.301093,180.0,top
MSR20,130.345516,-48.349093,180.0,top
MSR21,143.958306,-46.825093,180.0,top
MSR22,143.958306,-45.301093,180.0,top
MSR23,143.958306,-48.349093,180.0,top
MSR24,143.958306,-49.873093,180.0,top
MSR25,143.958306,-55.969093,180.0,top
MSR26,143.958306,-52.921093,180.0,top
MSR27,143.958306,-51.397093,180.0,top
MSR28,143.958306,-54.445093,180.0,top
MSR29,130.345516,-51.397093,180.0,top
MSR3,103.082003,-46.825093,180.0,top
MSR30,130.345516,-52.921093,180.0,top
MSR31,130.345516,-54.445093,180.0,top
MSR32,130.345516,-55.969093,180.0,top
MSR33,157.558229,-45.301093,180.0,top
MSR34,157.558229,-46.825093,180.0,top
MSR35,157.558229,-49.873093,180.0,top
MSR36,157.558229,-48.349093,180.0,top
MSR37,171.153864,-46.825093,180.0,top
MSR38,171.153864,-45.301093,180.0,top
MSR39,171.153864,-48.349093,180.0,top
MSR4,103.082003,-48.349093,180.0,top
MSR40,171.153864,-49.873093,180.0,top
MSR41,171.153864,-55.969093,180.0,top
MSR42,171.153864,-52.921093,180.0,top
MSR43,171.153864,-51.397093,180.0,top
MSR44,171.153864,-54.445093,180.0,top
MSR45,157.558229,-51.397093,180.0,top
MSR46,157.558229,-52.921093,180.0,top
MSR47,157.558229,-54.445093,180.0,top
MSR48,157.558229,-55.969093,180.0,top
MSR49,184.74521,-45.301093,180.0,top
MSR5,103.082003,-49.873093,180.0,top
MSR50,184.74521,-46.825093,180.0,top
MSR51,184.74521,-49.873093,180.0,top
MSR52,184.74521,-48.349093,180.0,top
MSR53,198.332267,-46.825093,180.0,top
MSR54,198.332267,-45.301093,180.0,top
MSR55,198.332267,-48.349093,180.0,top
MSR56,198.332267,-49.873093,180.0,top
MSR57,198.332267,-55.969093,180.0,top
MSR58,198.332267,-52.921093,180.0,top
MSR59,198.332267,-51.397093,180.0,top
MSR6,103.082003,-51.397093,180.0,top
MSR60,198.332267,-54.445093,180.0,top
MSR61,184.74521,-51.397093,180.0,top
MSR62,184.74521,-52.921093,180.0,top
MSR63,184.74521,-54.445093,180.0,top
MSR64,184.74521,-55.969093,180.0,top
MSR65,211.915035,-45.301093,180.0,top
MSR66,211.915035,-46.825093,180.0,top
MSR67,211.915035,-49.873093,180.0,top
MSR68,211.915035,-48.349093,180.0,top
MSR69,225.493514,-46.825093,180.0,top
MSR7,103.082003,-52.921093,180.0,top
MSR70,225.493514,-45.301093,180.0,top
MSR71,225.493514,-48.349093,180.0,top
MSR72,225.493514,-49.873093,180.0,top
MSR73,225.493514,-55.969093,180.0,top
MSR74,225.493514,-52.921093,180.0,top
MSR75,225.493514,-51.397093,180.0,top
MSR76,225.493514,-54.445093,180.0,top
MSR77,211.915035,-51.397093,180.0,top
MSR78,211.915035,-52.921093,180.0,top
MSR79,211.915035,-54.445093,180.0,top
MSR8,103.082003,-54.445093,180.0,top
MSR80,211.915035,-55.969093,180.0,top
MSR9,103.082003,-55.969093,180.0,top
Q1,55.7734,-78.2624,270.0,top
Q2,57.8054,-84.3584,270.0,top
R1,63.1394,-92.9944,270.0,top
R2,58.3134,-78.0084,90.0,top
R3,56.2814,-81.8184,90.0,top
R4,54.7574,-81.8184,90.0,top
R5,53.9954,-85.8824,0.0,top
R6,61.1074,-81.8184,270.0,top
R7,61.3614,-84.8664,0.0,top
R8,59.3294,-81.8184,270.0,top
R9,63.1394,-96.0424,90.0,top
RLED1,30.830498,-45.801199,0.0,top
RLED2,30.830498,-43.261199,0.0,top
RP_DIP1,63.241002,-66.363597,0.0,top
RP_DIP2,63.241002,-68.873598,0.0,top
RP_DIP3,63.241001,-71.383598,0.0,top
RP_DIP4,63.241001,-73.893599,0.0,top
RS1,56.8006,-61.1552,0.0,top
RS_UART_RX1,61.9202,-55.1608,180.0,top
RS_UART_TX1,61.9202,-59.8598,180.0,top
R_TERM1,55.3162,-53.7768,180.0,top
U2,57.3024,-92.2324,0.0,top
U5,56.7132,-57.5738,90.0,top
UO1,108.460904,-51.464493,270.0,top
UO10,230.838104,-51.464493,270.0,top
UO2,122.115916,-51.464493,270.0,top
UO3,135.728706,-51.464493,270.0,top
UO4,149.328629,-51.464493,270.0,top
UO5,162.924263,-51.464493,270.0,top
UO6,176.51561,-51.464493,270.0,top
UO7,190.102667,-51.464493,270.0,top
UO8,203.685435,-51.464493,270.0,top
UO9,217.263914,-51.464493,270.0,top
